date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot
2025-03-06,Doha,Al Maamoura 43,Residence,552,404.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,780,322.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,169.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,755,169.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,661,165.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,165.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,693,214.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,211.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,179.0
2025-03-06,Doha,Old Airport,Residence,427,457.0
2025-03-06,Doha,Legtaifiya,Residential Unit,76,901.16
2025-03-06,Doha,Ghar Thaileb,Residential Unit,180,1030.71
2025-03-06,Doha,Al Thumama 50,Vacant Land,722,169.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,217.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,209.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,650,180.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,178.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,694,179.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,171.0
2025-03-06,Doha,Najma,Residence,186,624.0
2025-03-06,Doha,The Pearl Island,Residential Unit,213,915.9
2025-03-06,Doha,Al Thumama 47,Residence,595,765.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,169.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,694,169.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,780,330.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,695,330.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,780,179.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,693,165.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,747,224.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,203.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,236.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,650,180.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,650,165.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,187.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,755,166.0
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,171.0
2025-03-06,Doha,Nuaija 44,Residence,2672,450.0
2025-03-05,Doha,Al Markhiya,Residence,563,710.0
2025-03-05,Doha,Al Thumama 50,Residence,454,532.0
2025-03-05,Doha,The Pearl Island,Residential Unit,124,1115.55
2025-03-04,Doha,The Pearl Island,Residential Unit,115,1562.07
2025-03-04,Doha,Nuaija 43,Residence,446,333.0
2025-03-04,Doha,Nuaija 43,Residence,458,325.0
2025-03-04,Doha,The Pearl Island,Residential Unit,118,1547.51
2025-03-04,Doha,The Pearl Island,Residential Unit,171,1118.2
2025-03-04,Doha,The Pearl Island,Residential Unit,188,1283.78
2025-03-04,Doha,The Pearl Island,Residential Unit,286,1548.49
2025-03-03,Doha,Hazm Al Markhiya,Residence,887,305.0
2025-03-03,Doha,Legtaifiya,Residential Unit,107,1142.68
2025-03-03,Doha,The Pearl Island,Residential Unit,408,1639.22
2025-03-02,Doha,The Pearl Island,Residential Unit,87,1589.35
2025-03-02,Doha,The Pearl Island,Residential Unit,182,1529.18
2025-03-02,Doha,The Pearl Island,Residential Unit,125,1406.61
2025-03-02,Doha,The Pearl Island,Residential Unit,115,1270.71
2025-02-27,Doha,Al Thumama 47,Vacant Land,399,365.0
2025-02-27,Doha,Nuaija 43,Residence,446,326.0
2025-02-27,Doha,Old Al Ghanim 16,Residence,247,1693.0
2025-02-27,Doha,Madinat Khalifa South,Residential Building,376,692.0
2025-02-27,Doha,The Pearl Island,Residential Unit,327,1388.18
2025-02-27,Doha,Ghar Thaileb,Residential Unit,183,1046.07
2025-02-27,Doha,Ghar Thaileb,Residential Unit,130,1171.01
2025-02-27,Doha,The Pearl Island,Residential Unit,141,1416.51
2025-02-27,Doha,Al Thumama 47,Vacant Land,434,375.0
2025-02-27,Doha,Al Thumama 46,Vacant Land,755,370.0
2025-02-27,Doha,Al Maamoura 43,Residence,398,654.0
2025-02-27,Doha,Al Mansoura,Residential Building,188,1384.0
2025-02-27,Doha,The Pearl Island,Residential Unit,183,1444.64
2025-02-27,Doha,Hazm Al Markhiya,Residence,1383,605.0
2025-02-27,Doha,Al Thumama 47,Vacant Land,434,365.0
2025-02-27,Doha,New Slata,Residence,804,315.0
2025-02-27,Doha,Najma,Residential Building,288,2161.0
2025-02-27,Doha,Fereej Abdel Aziz,Residence,480,1026.0
2025-02-27,Doha,Nuaija 43,Residence,458,322.0
2025-02-27,Doha,Al Thumama 46,Residence,420,476.0
2025-02-27,Doha,Al Thumama 47,Vacant Land,398,366.0
2025-02-27,Doha,Ghar Thaileb,Residential Unit,95,1221.13
2025-02-27,Doha,The Pearl Island,Residential Unit,255,1010.85
2025-02-27,Doha,The Pearl Island,Residential Unit,176,1555.24
2025-02-26,Doha,The Pearl Island,Residential Unit,734,1037.4
2025-02-26,Doha,Duhail,Residence,1328,390.0
2025-02-26,Doha,Nuaija 41,Residence,920,424.0
2025-02-26,Doha,The Pearl Island,Residential Unit,740,959.31
2025-02-26,Doha,New Slata,Residence,893,291.0
2025-02-26,Doha,Fereej Bin Mahmoud 23,Residence,130,763.0
2025-02-26,Doha,Onaiza 66,Residence,875,244.0
2025-02-26,Doha,Ghar Thaileb,Residential Unit,183,1073.86
2025-02-25,Doha,Al Thumama 46,Vacant Land,426,375.0
2025-02-25,Doha,Old Airport,Residence,1487,656.0
2025-02-25,Doha,Al Mansoura,Residence,163,798.0
2025-02-25,Doha,The Pearl Island,Residential Unit,152,941.24
2025-02-25,Doha,Ghar Thaileb,Residential Unit,92,1431.14
2025-02-25,Doha,The Pearl Island,Residential Unit,327,1523.04
2025-02-25,Doha,Ghar Thaileb,Residential Unit,95,1189.44
2025-02-25,Doha,The Pearl Island,Residential Unit,113,1224.66
2025-02-25,Doha,Duhail,Residence,466,459.0
2025-02-25,Doha,Umm Lekhba,Residence,900,413.0
2025-02-24,Doha,The Pearl Island,Residential Unit,264,1132.45
2025-02-24,Doha,Old Airport,Vacant Land,545,597.0
2025-02-23,Doha,Al Thumama 46,Residence,418,800.0
2025-02-23,Doha,The Pearl Island,Residential Unit,250,1361.01
2025-02-20,Doha,New  Al Mirqab,Residential Building,1295,1417.0
2025-02-20,Doha,Al Thumama 47,Vacant Land,623,340.0
2025-02-20,Doha,Old Airport,Residential Building,610,609.0
2025-02-20,Doha,The Pearl Island,Residential Unit,398,1631.84
2025-02-20,Doha,Al Markhiya,Residence,637,693.0
2025-02-20,Doha,Fereej Abdel Aziz,Residence,480,1084.0
2025-02-20,Doha,Madinat Khalifa South,Residence,915,366.0
2025-02-19,Doha,Al Mansoura,Residential Building,456,1470.0
2025-02-19,Doha,Al Thumama 47,Residence,1250,312.0
2025-02-19,Doha,Al Thumama 46,Residence,450,785.0
2025-02-19,Doha,Al Jebailat,Residence,450,537.0
2025-02-19,Doha,Old Airport,Residence,359,880.0
2025-02-19,Doha,Al Kharayej,Residential Unit,105,905.88
2025-02-19,Doha,Legtaifiya,Residential Unit,139,916.89
2025-02-19,Doha,The Pearl Island,Residential Unit,385,1422.64
2025-02-18,Doha,Old Airport,Vacant Land,514,500.0
2025-02-18,Doha,Hazm Al Markhiya,Vacant Land,1309,405.0
2025-02-18,Doha,Fereej Bin Mahmoud 22,Residential Building,142,1439.0
2025-02-18,Doha,The Pearl Island,Residential Unit,229,1011.09
2025-02-18,Doha,The Pearl Island,Residential Unit,183,1189.64
2025-02-18,Doha,Old Airport,Residential Building,512,1606.0
2025-02-18,Doha,Legtaifiya,Vacant Land,1225,319.0
2025-02-17,Doha,Duhail,Vacant Land,593,423.0
2025-02-17,Doha,Al Thumama 50,Vacant Land,648,335.0
2025-02-17,Doha,Ghar Thaileb,Residential Unit,167,996.93
2025-02-17,Doha,Ghar Thaileb,Residential Unit,83,1334.49
2025-02-17,Doha,New Slata,Vacant Land,819,306.0
2025-02-17,Doha,Nuaija 44,Vacant Land,556,365.0
2025-02-17,Doha,Al Sadd 39,Residence,517,854.0
2025-02-17,Doha,Fereej Abdel Aziz,Residential Building,294,711.0
2025-02-17,Doha,Fereej Bin Mahmoud 22,Residential Building,400,1533.0
2025-02-17,Doha,Ghar Thaileb,Residential Unit,89,1199.85
2025-02-17,Doha,Fereej Abdel Aziz,Residence,219,840.0
2025-02-17,Doha,The Pearl Island,Residential Unit,404,1686.1
2025-02-16,Doha,Fereej Kulaib,Vacant Land,840,649.0
2025-02-16,Doha,Madinat Khalifa South,Residential Building,376,655.0
2025-02-16,Doha,Nuaija 44,Residence,524,417.0
2025-02-16,Doha,Umm Ghuwailina,Residence,422,738.0
2025-02-16,Doha,The Pearl Island,Residential Unit,137,1286.46
2025-02-16,Doha,Old Airport,Residential Building,465,999.0
2025-02-16,Doha,Fereej Bin Derhem,Residential Building,42,1548.0
2025-02-16,Doha,Najma,Residence,72,645.0
2025-02-16,Doha,The Pearl Island,Residential Unit,183,1350.89
2025-02-16,Doha,The Pearl Island,Residential Unit,120,1271.86
2025-02-16,Doha,Fereej Kulaib,Vacant Land,822,650.0
2025-02-16,Doha,Al Thumama 47,Residence,549,406.0
2025-02-16,Doha,The Pearl Island,Residential Unit,108,1727.38
2025-02-13,Doha,Nuaija 43,Residence,453,1119.0
2025-02-13,Doha,The Pearl Island,Residence,1486,2657.0
2025-02-13,Doha,Old Airport,Residence,400,813.0
2025-02-13,Doha,Duhail,Residence,1259,258.0
2025-02-13,Doha,Al Thumama 46,Residence,435,812.0
2025-02-13,Doha,Nuaija 43,Residence,453,1100.0
2025-02-13,Doha,The Pearl Island,Residential Unit,87,1068.02
2025-02-13,Doha,The Pearl Island,Residential Unit,73,1326.28
2025-02-13,Doha,The Pearl Island,Residential Unit,77,1625.02
2025-02-13,Doha,The Pearl Island,Residential Unit,81,1774.49
2025-02-13,Doha,Al Thumama 50,Residence,351,741.0
2025-02-13,Doha,Al Maamoura 43,Vacant Land,1003,278.0
2025-02-12,Doha,Fereej Abdel Aziz,Residential Building,294,711.0
2025-02-12,Doha,The Pearl Island,Residential Unit,112,1252.0
2025-02-12,Doha,Al Thumama 46,Residence,452,411.0
2025-02-12,Doha,Al Hilal,Residence,952,293.0
2025-02-12,Doha,Al Hilal,Apartment Complex,2957,350.0
2025-02-12,Doha,The Pearl Island,Residential Unit,130,998.65
2025-02-12,Doha,Al Thumama 46,Residence,498,466.0
2025-02-10,Doha,Najma,Residence,72,574.0
2025-02-10,Doha,Ghar Thaileb,Residential Unit,91,1138.53
2025-02-10,Doha,The Pearl Island,Residential Unit,115,1007.1
2025-02-10,Doha,Al Thumama 46,Vacant Land,448,373.0
2025-02-10,Doha,Ghar Thaileb,Residential Unit,180,1025.56
2025-02-10,Doha,The Pearl Island,Residential Unit,135,1410.12
2025-02-10,Doha,Ghar Thaileb,Residential Unit,91,1150.92
2025-02-10,Doha,Al Maamoura 43,Residence,322,433.0
2025-02-10,Doha,Al Maamoura 43,Residence,481,386.0
2025-02-10,Doha,Ghar Thaileb,Residential Unit,192,1071.16
2025-02-10,Doha,Duhail,Residence,493,433.0
2025-02-10,Doha,Ghar Thaileb,Residential Unit,102,1147.18
2025-02-10,Doha,Al Thumama 46,Residence,450,351.0
2025-02-09,Doha,Al Maamoura 43,Residence,772,325.0
2025-02-09,Doha,Umm Lekhba,Residence,882,438.0
2025-02-09,Doha,Nuaija 41,Vacant Land,1856,250.0
2025-02-09,Doha,Al Kharayej,Residential Unit,128,702.56
2025-02-09,Doha,The Pearl Island,Residential Unit,93,1485.07
2025-02-09,Doha,The Pearl Island,Residential Unit,79,1764.8
2025-02-09,Doha,The Pearl Island,Residential Unit,86,1123.94
2025-02-09,Doha,The Pearl Island,Residential Unit,91,1517.46
2025-02-09,Doha,Fereej Bin Derhem,Residential Building,120,1285.0
2025-02-09,Doha,Madinat Khalifa South,Residence,592,478.0
2025-02-09,Doha,Fereej Bin Mahmoud 23,Residence,430,864.0
2025-02-09,Doha,Fereej Kulaib,Residential Building,909,1124.0
2025-02-06,Doha,Nuaija 43,Residence,572,374.0
2025-02-06,Doha,Al Thumama 46,Vacant Land,928,355.0
2025-02-06,Doha,Najma,Residence,242,767.0
2025-02-06,Doha,Najma,Residence,399,664.0
2025-02-06,Doha,Al Mansoura,Residence,555,1004.0
2025-02-06,Doha,The Pearl Island,Residential Unit,128,1262.76
2025-02-06,Doha,Legtaifiya,Residence,1225,394.0
2025-02-05,Doha,Al Thumama 50,Residence,454,491.0
2025-02-05,Doha,Nuaija 43,Residence,764,1319.0
2025-02-05,Doha,Al Sadd 38,Residence,2387,895.0
2025-02-05,Doha,Najma,Residence,137,712.0
2025-02-05,Doha,Al Thumama 46,Residence,450,723.0
2025-02-05,Doha,Najma,Residence,144,774.0
2025-02-05,Doha,Legtaifiya,Residential Unit,137,907.51
2025-02-05,Doha,Al Thumama 50,Vacant Land,578,300.0
2025-02-05,Doha,The Pearl Island,Residential Unit,182,1124.66
2025-02-04,Doha,The Pearl Island,Residential Unit,123,1125.82
2025-02-04,Doha,The Pearl Island,Residential Unit,184,1258.37
2025-02-04,Doha,New Slata,Vacant Land,639,371.0
2025-02-04,Doha,Al Thumama 50,Residence,577,580.0
2025-02-04,Doha,The Pearl Island,Residential Unit,87,1171.14
2025-02-04,Doha,Fereej Abdel Aziz,Residence,254,834.0
2025-02-04,Doha,The Pearl Island,Residential Unit,223,1158.08
2025-02-04,Doha,Umm Ghuwailina,Residential Building,344,884.0
2025-02-04,Doha,Al Mansoura,Residence,483,720.0
2025-02-04,Doha,Fereej Abdel Aziz,Residence,204,774.0
2025-02-04,Doha,The Pearl Island,Residential Unit,176,1239.76
2025-02-04,Doha,The Pearl Island,Residential Unit,233,1152.3
2025-02-03,Doha,The Pearl Island,Residential Unit,74,1421.22
2025-02-03,Doha,The Pearl Island,Residential Unit,132,983.92
2025-02-03,Doha,The Pearl Island,Residential Unit,152,992.21
2025-02-03,Doha,The Pearl Island,Residential Unit,75,1299.26
2025-02-03,Doha,The Pearl Island,Residential Unit,137,1227.14
2025-02-03,Doha,Al Sadd 38,Residence,599,807.0
2025-02-02,Doha,Umm Ghuwailina,Residence,216,645.0
2025-02-02,Doha,The Pearl Island,Residential Unit,123,1148.34
2025-02-02,Doha,The Pearl Island,Residential Unit,156,1362.87
2025-02-02,Doha,Old Al Ghanim 16,Shops,507,1008.0
2025-02-02,Doha,Al Markhiya,Vacant Land,1777,418.0
2025-02-02,Doha,The Pearl Island,Residential Unit,193,1177.94
2025-02-02,Doha,Al Markhiya,Vacant Land,1381,538.0
2025-01-30,Doha,The Pearl Island,Residential Unit,73,1393.8
2025-01-30,Doha,The Pearl Island,Residential Unit,87,1334.3
2025-01-30,Doha,The Pearl Island,Residential Unit,87,1392.54
2025-01-30,Doha,New Slata,Residence,498,410.0
2025-01-30,Doha,Al Sadd 38,Vacant Land,481,1381.0
2025-01-30,Doha,The Pearl Island,Residential Unit,134,1335.69
2025-01-30,Doha,Al Thumama 50,Vacant Land,571,330.0
2025-01-30,Doha,Madinat Khalifa South,Vacant Land,592,628.0
2025-01-30,Doha,Legtaifiya,Residential Unit,77,1357.92
2025-01-30,Doha,Legtaifiya,Residential Unit,124,929.03
2025-01-30,Doha,New Slata,Residence,592,377.0
2025-01-30,Doha,The Pearl Island,Residential Unit,177,1360.14
2025-01-30,Doha,The Pearl Island,Residential Unit,396,1474.95
2025-01-29,Doha,Old Airport,Residence,450,427.0
2025-01-29,Doha,The Pearl Island,Residential Unit,176,1365.45
2025-01-29,Doha,Al Thumama 46,Vacant Land,884,368.0
2025-01-29,Doha,Al Thumama 50,Vacant Land,571,163.0
2025-01-29,Doha,The Pearl Island,Residential Unit,175,1207.79
2025-01-29,Doha,Old Airport,Residence,729,370.0
2025-01-29,Doha,Nuaija 44,Commercial Residential Building and  Shops,851,1725.0
2025-01-29,Doha,Najma,Residence,134,728.0
2025-01-29,Doha,The Pearl Island,Residential Unit,85,1325.33
2025-01-29,Doha,Ghar Thaileb,Residential Unit,102,1132.84
2025-01-29,Doha,The Pearl Island,Residential Unit,120,1338.14
2025-01-29,Doha,Fereej Abdel Aziz,Vacant Land,346,806.0
2025-01-28,Doha,Ghar Thaileb,Residential Unit,130,1169.76
2025-01-28,Doha,The Pearl Island,Residential Unit,121,1426.21
2025-01-28,Doha,The Pearl Island,Residential Unit,59,1483.58
2025-01-28,Doha,The Pearl Island,Residential Unit,112,1242.35
2025-01-28,Doha,Madinat Khalifa South,Residence,591,472.0
2025-01-28,Doha,Madinat Khalifa South,Residence,590,504.0
2025-01-28,Doha,Old Airport,Residential Building,610,548.0
2025-01-28,Doha,Old Airport,Residential Building,1009,506.0
2025-01-28,Doha,The Pearl Island,Residential Unit,176,1247.65
2025-01-28,Doha,Hazm Al Markhiya,Vacant Land,1225,520.0
2025-01-28,Doha,Al Sadd 38,Residence,1824,942.0
2025-01-27,Doha,Old Al Ghanim 16,Residence,100,604.0
2025-01-27,Doha,Old Airport,Residence,158,600.0
2025-01-27,Doha,The Pearl Island,Residential Unit,343,985.8
2025-01-27,Doha,The Pearl Island,Residential Unit,231,1568.49
2025-01-27,Doha,Umm Ghuwailina,Residence,91,613.0
2025-01-27,Doha,The Pearl Island,Residential Unit,74,1516.02
2025-01-27,Doha,The Pearl Island,Residential Unit,86,1420.41
2025-01-27,Doha,The Pearl Island,Residential Unit,175,1063.55
2025-01-27,Doha,Madinat Khalifa North,Residence,496,412.0
2025-01-26,Doha,The Pearl Island,Residential Unit,102,1192.92
2025-01-26,Doha,Al Dafna 60,Residential Unit,153,1421.42
2025-01-26,Doha,Al Dafna 60,Residential Unit,153,1440.0
2025-01-26,Doha,New Slata,Residence,559,490.0
2025-01-26,Doha,Al Mansoura,Residence,1056,1100.0
2025-01-26,Doha,The Pearl Island,Residential Unit,72,1390.02
2025-01-26,Doha,The Pearl Island,Residential Unit,87,1480.86
2025-01-26,Doha,The Pearl Island,Residential Unit,96,1591.3
2025-01-26,Doha,Al Dafna 60,Residential Unit,153,1421.42
2025-01-26,Doha,Al Dafna 60,Residential Unit,148,1487.35
2025-01-26,Doha,Old Airport,Residence,406,641.0
2025-01-26,Doha,Onaiza 65,Residence,1225,303.0
2025-01-26,Doha,Al Thumama 46,Vacant Land,426,375.0
2025-01-26,Doha,The Pearl Island,Residential Unit,145,1181.08
2025-01-26,Doha,Al Dafna 60,Residential Unit,148,1421.42
2025-01-26,Doha,Al Dafna 60,Residential Unit,148,1440.0
2025-01-26,Doha,Nuaija 41,Vacant Land,539,431.0
2025-01-26,Doha,Old Airport,Residential Building,486,1195.0
2025-01-23,Doha,The Pearl Island,Residential Unit,58,1661.24
2025-01-23,Doha,The Pearl Island,Residential Unit,59,2345.64
2025-01-23,Doha,The Pearl Island,Residential Unit,140,1088.86
2025-01-23,Doha,Al Hilal,Vacant Land,848,237.0
2025-01-23,Doha,Al Maamoura 43,Residence,798,349.0
2025-01-23,Doha,Al Hilal,Vacant Land,1035,359.0
2025-01-23,Doha,Madinat Khalifa South,Residential Building,616,1591.0
2025-01-23,Doha,The Pearl Island,Residential Unit,86,1441.76
2025-01-23,Doha,Rawdat Al Khail,Residential Building,335,1387.0
2025-01-23,Doha,Fereej Bin Omran,Residence,170,1066.0
2025-01-23,Doha,The Pearl Island,Residential Unit,180,1262.06
2025-01-23,Doha,The Pearl Island,Residential Unit,184,1260.76
2025-01-22,Doha,Al Rufaa,Residence,213,654.0
2025-01-22,Doha,Legtaifiya,Residential Unit,138,905.8
2025-01-22,Doha,Al Rufaa,Residence,286,844.0
2025-01-22,Doha,Old Al Ghanim 16,Residence,239,1030.0
